,index,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras,id_year,year,id_race,race,household_income_by_race,household_income_by_race_moe,geography,id_geography
258,Census Tract 3016,white,342.9219230993625,342.9219230993625,0.0,0.0,0.0,2022,2022,0,Total,28442,3335.0,Census Tract 3016,14000US17031301600
259,Census Tract 7503,white,1279.8225096223866,1291.1399783862842,0.008842998680525441,11.317468763897523,0.25150355426477666,2022,2022,0,Total,119000,15460.000000000002,Census Tract 7503,14000US17031750300
260,Census Tract 6408,white,1031.2022100393563,1145.0443256526041,0.1103974705493533,113.84211561324787,2.0,2022,2022,0,Total,38365,13853.0,Census Tract 6408,14000US17031640800
261,Census Tract 7402,white,2549.443900254003,2627.249427521041,0.030518626928518124,77.80552726703809,2.0,2022,2022,0,Total,118444,6802.999999999999,Census Tract 7402,14000US17031740200
262,Census Tract 6504,white,1060.2400503162148,1105.386736904346,0.042581570630788976,45.14668658813116,2.9377577408604756,2022,2022,0,Total,72308,9094.0,Census Tract 6504,14000US17031650400
263,Census Tract 6505,white,1403.1869145986223,1506.6465918230954,0.07373192847516503,103.45967722447313,3.0,2022,2022,0,Total,66818,14167.0,Census Tract 6505,14000US17031650500
264,Census Tract 6606,white,329.2190305806553,340.1958148139507,0.03334188857167583,10.976784233295348,0.5100797081913496,2022,2022,0,Total,36729,6876.0,Census Tract 6606,14000US17031660600
265,Census Tract 2211,white,579.9563403428824,601.1331161229283,0.03651443101307545,21.176775780045887,1.0118559824509004,2022,2022,0,Total,87478,13405.0,Census Tract 2211,14000US17031221100
266,Census Tract 2213,white,475.22752606540615,490.06819515268705,0.03122855531991714,14.8406690872809,0.8761126360773478,2022,2022,0,Total,81264,16050.0,Census Tract 2213,14000US17031221300
267,Census Tract 2215,white,450.68459527638043,466.97467688406545,0.03614519284311279,16.29008160768501,1.1624277621768782,2022,2022,0,Total,62500,21374.0,Census Tract 2215,14000US17031221500
268,Census Tract 201,white,727.4717090864849,739.9014124428015,0.017086167339655164,12.429703356316622,0.712621844670196,2022,2022,0,Total,57029,15126.999999999998,Census Tract 201,14000US17031020100
