,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
Census Tract 7401,white,104.9,104.9,0.0,0.0,0.0
Census Tract 1405,white,169.8,169.8,0.0,0.0,0.0
Census Tract 1408,white,103.30000000000001,103.30000000000001,0.0,0.0,0.0
Census Tract 3011,white,111.3,111.3,0.0,0.0,0.0
Census Tract 1502,white,83.80000000000001,134.39999999999998,0.6038186157517895,50.599999999999966,1.0
Census Tract 1503,white,16.6,16.6,0.0,0.0,0.0
Census Tract 3012,white,214.60000000000002,228.2,0.06337371854613218,13.599999999999966,1.0
Census Tract 7404,white,26.400000000000002,26.400000000000002,0.0,0.0,0.0
Census Tract 204,white,177.49999999999997,177.49999999999997,0.0,0.0,0.0
Census Tract 6403,white,70.4,70.4,0.0,0.0,0.0
Census Tract 6406,white,17.4,17.4,0.0,0.0,0.0
Census Tract 718,white,278.70000000000005,285.9,0.02583423035522042,7.199999999999932,1.0
Census Tract 1603,white,140.9,140.9,0.0,0.0,0.0
Census Tract 3107,white,52.099999999999994,52.099999999999994,0.0,0.0,0.0
Census Tract 715,white,417.6,417.6,0.0,0.0,0.0
Census Tract 717,white,368.09999999999997,389.7,0.05867970660146706,21.600000000000023,1.0
Census Tract 6712,black,33.8,33.8,0.0,0.0,0.0
Census Tract 6705,black,158.10000000000002,166.60000000000002,0.05376344086021505,8.5,1.0
Census Tract 6706,black,102.8,102.8,0.0,0.0,0.0
Census Tract 6707,black,141.5,141.5,0.0,0.0,0.0
Census Tract 6708,black,171.5,171.5,0.0,0.0,0.0
Census Tract 6709,black,181.5,181.5,0.0,0.0,0.0
Census Tract 6711,black,96.19999999999999,96.19999999999999,0.0,0.0,0.0
Census Tract 6713,black,56.6,56.6,0.0,0.0,0.0
Census Tract 6714,black,102.0,102.0,0.0,0.0,0.0
Census Tract 6715,black,111.3,111.3,0.0,0.0,0.0
Census Tract 6716,black,140.7,140.7,0.0,0.0,0.0
Census Tract 6701,black,251.0,251.0,0.0,0.0,0.0
Census Tract 2305,white,11.4,11.4,0.0,0.0,0.0
Census Tract 2306,black,74.1,74.1,0.0,0.0,0.0
Census Tract 2406,white,182.1,182.1,0.0,0.0,0.0
Census Tract 2410,white,120.5,120.5,0.0,0.0,0.0
Census Tract 1910,white,155.0,155.0,0.0,0.0,0.0
Census Tract 803,white,294.69999999999993,294.69999999999993,0.0,0.0,0.0
Census Tract 3008,white,153.7,153.7,0.0,0.0,0.0
Census Tract 6502,white,250.8,282.70000000000005,0.12719298245614047,31.900000000000034,2.0
Census Tract 6605,white,267.7,267.7,0.0,0.0,0.0
Census Tract 2214,white,255.2,255.2,0.0,0.0,0.0
Census Tract 1610,white,65.80000000000001,65.80000000000001,0.0,0.0,0.0
Census Tract 3406,white,121.4,121.4,0.0,0.0,0.0
Census Tract 2405,white,206.90000000000003,217.1,0.04929917834702735,10.19999999999996,1.0
Census Tract 2407,white,152.5,152.5,0.0,0.0,0.0
Census Tract 2408,white,155.0,155.0,0.0,0.0,0.0
Census Tract 2409,white,81.5,81.5,0.0,0.0,0.0
Census Tract 2411,white,95.9,95.9,0.0,0.0,0.0
Census Tract 1903,white,189.0,201.6,0.06666666666666664,12.599999999999994,1.0
Census Tract 1908,white,152.5,152.5,0.0,0.0,0.0
Census Tract 1909,white,82.0,82.0,0.0,0.0,0.0
Census Tract 1911,white,179.10000000000002,190.1,0.06141820212171954,10.999999999999972,1.0
Census Tract 1912,white,245.10000000000002,281.5,0.1485108119135046,36.39999999999998,2.0
Census Tract 801,white,238.5,238.5,0.0,0.0,0.0
Census Tract 804,white,297.79999999999995,297.79999999999995,0.0,0.0,0.0
Census Tract 810,white,188.7,188.7,0.0,0.0,0.0
Census Tract 1506,white,107.5,117.8,0.09581395348837207,10.299999999999997,1.0
Census Tract 3016,white,95.00000000000001,95.00000000000001,0.0,0.0,0.0
Census Tract 205,white,214.1,214.1,0.0,0.0,0.0
Census Tract 7503,white,243.79999999999998,243.79999999999998,0.0,0.0,0.0
Census Tract 6408,white,164.6,164.6,0.0,0.0,0.0
Census Tract 7501,black,62.2,62.2,0.0,0.0,0.0
Census Tract 7402,white,128.7,128.7,0.0,0.0,0.0
Census Tract 6504,white,185.7,362.9,0.9542272482498654,177.2,1.0
Census Tract 6505,white,221.0,398.20000000000005,0.8018099547511315,177.20000000000005,1.0
Census Tract 6606,white,93.0,93.0,0.0,0.0,0.0
Census Tract 2211,white,263.5,288.2,0.09373814041745726,24.69999999999999,1.0
Census Tract 2213,white,241.79999999999998,241.79999999999998,0.0,0.0,0.0
Census Tract 2215,white,289.09999999999997,300.5,0.039432722241439074,11.400000000000034,1.0
Census Tract 201,white,147.9,147.9,0.0,0.0,0.0
Census Tract 2216,white,280.9,307.3,0.09398362406550387,26.400000000000034,1.0
Census Tract 1608,white,190.8,190.8,0.0,0.0,0.0
Census Tract 1609,white,196.6,197.2,0.0030518819938962073,0.5999999999999943,1.0
Census Tract 2228,white,200.9,219.20000000000002,0.09109009457441519,18.30000000000001,1.0
Census Tract 1611,white,59.10000000000001,59.10000000000001,0.0,0.0,0.0
Census Tract 1612,white,113.1,113.1,0.0,0.0,0.0
Census Tract 1613,white,86.69999999999999,86.69999999999999,0.0,0.0,0.0
Census Tract 6501,white,184.4,184.4,0.0,0.0,0.0
Census Tract 3302,white,209.5,209.5,0.0,0.0,0.0
Census Tract 4206,black,213.89999999999998,275.4,0.28751753155680226,61.5,1.0
Census Tract 4207,black,233.79999999999998,346.0,0.4798973481608213,112.20000000000002,1.0
Census Tract 6610,white,236.10000000000002,245.4,0.039390088945362056,9.299999999999983,1.0
Census Tract 101,white,50.1,50.1,0.0,0.0,0.0
Census Tract 2303,white,165.5,218.50000000000003,0.32024169184290047,53.00000000000003,1.0
Census Tract 6404,white,120.99999999999999,120.99999999999999,0.0,0.0,0.0
Census Tract 6405,white,93.69999999999999,93.69999999999999,0.0,0.0,0.0
Census Tract 6407,white,80.1,80.1,0.0,0.0,0.0
Census Tract 1512,white,57.0,57.0,0.0,0.0,0.0
Census Tract 3108,white,73.9,73.9,0.0,0.0,0.0
Census Tract 6604,white,177.39999999999998,177.39999999999998,0.0,0.0,0.0
Census Tract 6704,black,194.2,194.2,0.0,0.0,0.0
Census Tract 3404,white,192.5,192.5,0.0,0.0,0.0
Census Tract 4208,black,195.60000000000002,195.60000000000002,0.0,0.0,0.0
Census Tract 4212,black,234.4,279.5,0.19240614334470987,45.099999999999994,1.0
Census Tract 6611,white,236.90000000000003,318.1,0.34276065850569853,81.19999999999999,1.0
Census Tract 2225,white,187.3,187.3,0.0,0.0,0.0
Census Tract 1902,white,190.3,209.8,0.1024697845507094,19.5,1.0
Census Tract 3906,black,93.9,93.9,0.0,0.0,0.0
Census Tract 103,white,115.5,115.5,0.0,0.0,0.0
Census Tract 106,white,80.39999999999999,80.39999999999999,0.0,0.0,0.0
Census Tract 202,white,109.1,109.1,0.0,0.0,0.0
Census Tract 1508,white,195.3,209.70000000000002,0.07373271889400924,14.400000000000006,1.0
Census Tract 1511,white,166.0,166.0,0.0,0.0,0.0
Census Tract 2301,white,181.79999999999998,181.79999999999998,0.0,0.0,0.0
Census Tract 1601,white,189.60000000000002,229.0,0.20780590717299563,39.39999999999998,1.0
Census Tract 1602,white,141.8,141.8,0.0,0.0,0.0
Census Tract 1604,white,167.10000000000002,167.10000000000002,0.0,0.0,0.0
Census Tract 3106,white,74.2,74.2,0.0,0.0,0.0
Census Tract 3109,white,108.7,108.7,0.0,0.0,0.0
Census Tract 3204,white,108.1,108.1,0.0,0.0,0.0
