,Unnamed: 0,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
28,Census Tract 208.02,0,665.1737613841655,744.2089616578553,0.1188188784073876,79.03520027368984,3.5
29,Census Tract 203.01,0,1254.7847448283733,1291.3882732173834,0.0291711614600611,36.60352838901008,5.0
30,Census Tract 8387,0,507.8897040021101,523.9117499374348,0.0315463097776405,16.02204593532474,0.3333333333333333
31,Census Tract 206.01,0,615.3335918214452,662.6299279303173,0.0768629191344332,47.29633610887208,3.2
32,Census Tract 8415,0,600.1417354795914,605.6674579651191,0.0092073624593229,5.525722485527695,1.0
33,Census Tract 8386,1,181.60367663820372,185.596044465578,0.0219839592528073,3.992367827374266,0.6000000000000001
34,Census Tract 8373,1,163.31222963545727,163.31222963545727,0.0,0.0,0.0
35,Census Tract 206.02,0,916.062011747296,950.72542758153,0.0378395953436787,34.663415834234,3.166666666666667
36,Census Tract 633.01,0,434.726473926464,443.3376066671221,0.019808162734793,8.61113274065815,0.6470588235294117
37,Census Tract 8378,1,342.1779228547558,346.5873838562711,0.0128864567436952,4.409461001515297,0.5
38,Census Tract 8369,1,488.34191471422827,490.8276972854042,0.0050902502862787,2.485782571176003,0.8333333333333333
39,Census Tract 203.02,0,0.0,0.0,0.0,0.0,0.0
40,Census Tract 107.01,0,779.8582484554166,798.6799467101742,0.0241347684557235,18.82169825475762,1.0
41,Census Tract 301.03,0,844.7844019661802,918.1745782130168,0.0868744452146911,73.39017624683652,1.1666666666666663
42,Census Tract 633.03,0,798.584429062988,798.584429062988,0.0,0.0,0.0
43,Census Tract 301.02,0,811.9123629137088,880.3917458914096,0.0843433184487412,68.47938297770088,1.375
44,Census Tract 105.02,0,630.559510480962,658.7222738948084,0.0446631332106387,28.162763413846392,1.4
45,Census Tract 105.03,0,256.7869650015168,264.77572322701684,0.0311104507405694,7.988758225500021,0.4814814814814814
46,Census Tract 107.02,0,140.572240258793,140.572240258793,0.0,0.0,0.0
47,Census Tract 8371,1,482.75271439496737,485.5155756377312,0.0057231397367211,2.7628612427638477,0.5
48,Census Tract 8370,1,272.0826342551502,282.88736085648566,0.0397111952069794,10.80472660133546,0.6666666666666666
49,Census Tract 102.01,0,997.4619345528688,1047.2479024250692,0.0499126494431269,49.78596787220056,2.3636363636363638
50,Census Tract 404.01,0,580.6961991261295,626.6117580330427,0.0790698457747959,45.91555890691325,1.894736842105263
51,Census Tract 2106.02,0,0.0,0.0,0.0,0.0,0.0
52,Census Tract 1605.01,0,426.4282478587886,462.85916932353246,0.0854327114764871,36.43092146474385,1.25
53,Census Tract 1906.02,0,976.8293440246488,1076.8703270529725,0.1024139821763989,100.0409830283238,4.333333333333333
54,Census Tract 8402,0,258.82753520374285,258.82753520374285,0.0,0.0,0.0
55,Census Tract 207.01,0,1002.0647381695976,1002.0647381695976,0.0,0.0,0.0
56,Census Tract 8314,1,634.6472599651673,635.4179559195924,0.001214368993679,0.7706959544250367,0.3333333333333333
57,Census Tract 105.01,0,864.7055718971776,896.3231915222098,0.0365646072519951,31.617619625032148,1.8181818181818183
58,Census Tract 8330,0,371.49707931652415,384.1396323853848,0.0340313659857574,12.642553068860591,0.4
59,Census Tract 2521.01,1,647.1308996512407,647.1308996512407,0.0,0.0,0.0
60,Census Tract 2521.02,1,538.5379774700481,550.371140456471,0.0219727549058155,11.833162986422964,0.5
61,Census Tract 2522.02,1,911.9545706218717,1069.704591672216,0.1729801309540811,157.75002105034423,10.0
62,Census Tract 2206.01,0,508.429632557707,543.2877045093992,0.06856026816599,34.85807195169218,2.0
63,Census Tract 2105.02,0,580.9669942800862,627.5081659773992,0.08010983783164,46.54117169731308,1.857142857142857
64,Census Tract 2206.02,0,566.7645607373032,604.8376824393231,0.0671762568437423,38.07312170201988,2.5675675675675675
65,Census Tract 2209.01,0,401.9939442578016,417.05011930821945,0.0374537359716102,15.056175050417892,1.0
66,Census Tract 2209.02,0,0.0,0.0,0.0,0.0,0.0
67,Census Tract 2004.01,0,600.4242097228173,646.1578355343906,0.0761688570697141,45.73362581157335,1.5
68,Census Tract 2004.02,0,79.7810961819533,79.7810961819533,0.0,0.0,0.0
69,Census Tract 1913.01,0,853.3419415227575,957.60038561308,0.1221766316844538,104.25844409032266,3.0
70,Census Tract 1906.01,0,625.3860687055196,709.673303258509,0.1347763226121341,84.28723455298939,3.6666666666666665
71,Census Tract 1907.01,0,1224.268358351277,1363.2062891199084,0.1134864997701481,138.93793076863176,6.0
72,Census Tract 1904.02,0,698.3178156285001,741.1555700316471,0.061344209533867,42.83775440314707,4.0
73,Census Tract 8321,0,574.4751534233094,579.7655834122262,0.0092091537073292,5.290429988916799,0.2916666666666666
74,Census Tract 8428,0,233.78820286450932,237.99499576980745,0.0179940341460946,4.206792905298073,0.3333333333333333
75,Census Tract 8333,0,266.8865987249976,268.7911150802854,0.0071360509084617,1.9045163552877968,0.2
76,Census Tract 8329,0,358.86316330648515,366.45468709390366,0.0211543690287738,7.591523787418509,0.2727272727272727
77,Census Tract 8381,1,264.783551573889,265.8111294348985,0.0038808221088564,1.0275778610094903,0.3333333333333333
78,Census Tract 307.06,0,643.4952012128683,661.130603396204,0.0274056467710967,17.635402183335714,1.0
79,Census Tract 3815,1,752.1987107155892,831.8504990889869,0.1058919501438956,79.65178837339772,1.3333333333333333
80,Census Tract 8331,0,317.02276013721234,324.1532595825745,0.022492074203997,7.130499445362148,0.9166666666666666
81,Census Tract 8391,0,262.1602979608981,266.7007733563637,0.0173194622938016,4.540475395465592,0.238095238095238
82,Census Tract 812.01,0,222.7325640620085,225.26115357044617,0.0113525811507909,2.5285895084377046,0.2857142857142857
83,Census Tract 1504.01,0,505.9261241126651,559.1691306603988,0.1052386979247526,53.24300654773367,0.6666666666666666
84,Census Tract 1505.01,0,902.2019866538172,902.2019866538172,0.0,0.0,0.0
85,Census Tract 8430,1,326.97284823420057,326.97284823420057,0.0,0.0,0.0
86,Census Tract 8429,0,1335.041213152996,1335.041213152996,0.0,0.0,0.0
87,Census Tract 8421,1,663.1391376176007,736.5180926366779,0.1106539349836884,73.37895501907724,2.5
88,Census Tract 8419,0,293.5974992261283,301.021272577572,0.0252855469512221,7.423773351443685,0.2272727272727272
89,Census Tract 802.01,0,310.7486367140882,320.675034475488,0.03194349576675,9.926397761399812,0.4
90,Census Tract 701.01,0,585.8543034242032,773.5891395017527,0.3204462866966689,187.73483607754952,1.238095238095238
91,Census Tract 812.02,1,,,0.0,,
92,Census Tract 404.02,0,633.7467296491789,668.0418314685572,0.0541148383335453,34.295101819378374,1.3928571428571428
93,Census Tract 2207.02,0,657.1189505095306,705.91877912809,0.0742633104413135,48.799828618559445,2.75
94,Census Tract 8422,0,365.5402270785799,382.6833479584736,0.0468980418842068,17.14312087989373,1.0
95,Census Tract 8437,0,323.0351906746002,353.46748455362444,0.094207364267255,30.432293879024257,0.6666666666666666
96,Census Tract 8350,0,892.5118135650483,922.1594526453824,0.033218203534931,29.647639080334216,2.142857142857143
97,Census Tract 8423,0,270.8934639137888,283.7696975806887,0.0475324634299694,12.876233666899909,0.125
