,race,distance,restricted_distance,rdiff,adiff,n_cameras
Census Tract 8413,white,469.79999999999995,469.79999999999995,0.0,0.0,0
Census Tract 3018.01,white,734.4000000000001,769.4000000000001,4.765795206971677,35.0,2
Census Tract 608,white,688.3,695.0,0.9734127560656758,6.7000000000000455,1
Census Tract 8323,white,272.0,272.0,0.0,0.0,0
Census Tract 8325,white,357.5,357.5,0.0,0.0,0
Census Tract 8320,white,629.6,636.0,1.0165184243964387,6.399999999999977,3
Census Tract 1606.01,white,674.3,709.4,5.205398190716302,35.10000000000002,2
Census Tract 2105.01,white,543.1999999999999,543.1999999999999,0.0,0.0,0
Census Tract 2106.01,white,473.4,473.4,0.0,0.0,0
Census Tract 813,white,337.90000000000003,344.6,1.9828351583308634,6.699999999999989,1
Census Tract 7005.02,black,1280.7,1295.3999999999999,1.147809791520248,14.699999999999818,3
Census Tract 8361,black,644.4,644.4,0.0,0.0,0
Census Tract 8357,white,482.0,482.0,0.0,0.0,0
Census Tract 611,white,656.6999999999999,683.8000000000001,4.126694076442841,27.100000000000136,1
Census Tract 8365,black,458.5,458.5,0.0,0.0,0
Census Tract 8396,black,456.9,456.9,0.0,0.0,0
Census Tract 8400,white,405.4,405.4,0.0,0.0,0
Census Tract 8356,white,547.2,547.2,0.0,0.0,0
Census Tract 8308,white,748.9000000000001,793.4000000000001,5.942048337561757,44.5,3
Census Tract 4603.01,black,1141.0,1141.0,0.0,0.0,0
Census Tract 3017.01,white,748.0999999999999,748.0999999999999,0.0,0.0,0
Census Tract 3104,white,247.8,247.8,0.0,0.0,0
Census Tract 5301,black,1204.6,1204.6,0.0,0.0,0
Census Tract 811,white,304.29999999999995,310.99999999999994,2.2017745645744298,6.699999999999989,1
Census Tract 1507,white,760.0,807.4,6.236842105263155,47.39999999999998,2
Census Tract 3017.02,white,727.7,759.4,4.35619073794145,31.699999999999932,1
Census Tract 7003.01,black,1343.8999999999999,1488.9,10.789493265868014,145.00000000000023,4
Census Tract 4909.02,black,1025.7,1025.7,0.0,0.0,0
Census Tract 618,white,653.8000000000001,692.0,5.842765371673283,38.19999999999993,3
Census Tract 4909.01,black,1090.4,1090.4,0.0,0.0,0
Census Tract 6503.02,white,1045.1999999999998,1054.4,0.8802143130501603,9.200000000000273,3
Census Tract 8319,white,539.5,591.9000000000001,9.712696941612622,52.40000000000009,1
Census Tract 8306,white,1084.6999999999998,1128.1,4.0011062966718995,43.40000000000009,2
Census Tract 8309,white,387.3,387.3,0.0,0.0,0
Census Tract 8307,white,753.5,796.1,5.6536164565361675,42.60000000000002,1
Census Tract 3009,white,553.4,553.4,0.0,0.0,0
Census Tract 7005.01,black,1200.1000000000001,1285.4,7.10774102158153,85.29999999999995,3
Census Tract 4603.02,black,1200.3,1200.3,0.0,0.0,0
