sampno,locno,perno,loctype,state,country,state_fips,county_fips,tract_fips,out_region,home,latitude,longitude
20002935,4000002,-1,100,IL,USA,17,31,802300,0,-9,42.090458,-87.824237
20002935,4000003,-1,100,IL,USA,17,31,802300,0,-9,42.090458,-87.824237
20002935,4000004,-1,100,IL,USA,17,31,804603,0,-9,42.054349,-88.054009
20002935,4000005,-1,100,IL,USA,17,97,866200,0,-9,42.236386,-87.910896
20002935,4000006,-1,100,IL,USA,17,31,800300,0,-9,42.112539,-87.757493
20002935,4000007,-1,100,IL,USA,17,31,800300,0,-9,42.112539,-87.757493
20002935,4000008,-1,100,IL,USA,17,31,806900,0,-9,42.056765,-87.755714
20002935,4000009,-1,100,IL,USA,17,31,804603,0,-9,42.054349,-88.054009
20003187,10000,-1,1,IL,USA,17,31,81100,0,1,41.900221,-87.629105
20003187,10002,1,2,IL,USA,17,31,803901,0,0,42.097312,-88.019328
20003187,10401,-1,4,IL,USA,17,31,803605,0,0,42.128043,-88.024851
20003187,10403,-1,4,IL,USA,17,31,804106,0,0,42.08792,-88.050093
20003187,10404,-1,4,IL,USA,17,31,803901,0,0,42.097312,-88.019328
20003187,10406,-1,4,IL,USA,17,31,81100,0,0,41.900221,-87.629105
20003187,20002,2,2,IL,USA,17,31,81201,0,0,41.899154,-87.626212
20003264,10000,-1,1,IL,USA,17,31,40202,0,1,41.979855,-87.694096
20003264,10002,1,2,IL,USA,17,31,842900,0,0,41.863139,-87.672937
20003264,10401,-1,4,IL,USA,17,31,807600,0,0,42.021442,-87.722458
20003264,10403,-1,4,IL,USA,17,31,810301,0,0,42.02531,-87.701608
20003264,10406,-1,4,IL,USA,17,31,570100,0,0,41.8162,-87.718913
20003264,20002,2,2,IL,USA,17,31,815500,0,0,41.825147,-87.787768
20003264,2000005,-1,97,IL,USA,17,31,140602,0,0,41.964652,-87.721017
20003341,10000,-1,1,IL,USA,17,31,100700,0,1,41.972124,-87.79763
20003341,10002,1,2,IL,USA,17,97,864802,0,0,42.173681,-87.878362
20003341,10401,-1,4,IL,USA,17,31,810502,0,0,41.959585,-87.810459
20003341,10403,-1,4,IL,USA,17,31,100500,0,0,41.97806,-87.819734
20003341,10405,-1,4,IL,USA,17,31,170100,0,0,41.95586,-87.794817
20003341,20002,2,2,IL,USA,17,31,805105,0,0,42.058898,-88.014466
20003341,30003,3,3,IL,USA,17,31,100600,0,0,41.979205,-87.797401
20003341,1000000,-1,97,IL,USA,17,31,100700,0,0,41.972124,-87.79763
20003341,1000001,-1,97,IL,USA,17,31,90300,0,0,41.999113,-87.816364
20003341,1000002,-1,97,IL,USA,17,97,864505,0,0,42.166779,-87.91741
20003341,1000003,-1,97,IL,USA,17,31,803901,0,0,42.097312,-88.019328
20003341,1000004,-1,97,IL,USA,17,31,805501,0,0,42.019606,-87.837898
20003355,10000,-1,1,IL,USA,17,31,804505,0,1,41.993615,-88.175155
20003355,10002,1,2,IL,USA,17,89,854600,0,0,42.043217,-88.286603
20003355,10401,-1,4,IL,USA,17,43,841318,0,0,41.969017,-88.171711
20003355,10402,-1,4,IL,USA,17,43,841108,0,0,41.964557,-88.137807
20003355,10403,-1,4,IL,USA,17,43,841318,0,0,41.969017,-88.171711
20003355,20002,2,2,IL,USA,17,31,803005,0,0,42.132242,-87.992046
20003387,10000,-1,1,IL,USA,17,43,846518,0,1,41.746024,-88.253035
20003387,10401,-1,4,IL,USA,17,43,846519,0,0,41.766676,-88.191417
20003387,10402,-1,4,IL,USA,17,43,846515,0,0,41.741937,-88.237154
20003387,10403,-1,4,IL,USA,17,43,846514,0,0,41.739737,-88.22108
20003387,10405,-1,4,IL,USA,17,43,846511,0,0,41.728454,-88.249686
20003387,10406,-1,4,IL,USA,17,43,846510,0,0,41.750518,-88.220425
20003387,20002,2,2,IL,USA,17,89,853008,0,0,41.78724,-88.345858
20003387,1000000,-1,97,IL,USA,17,89,854700,0,0,41.753714,-88.325987
20003387,1000001,-1,97,IL,USA,17,93,890400,0,0,41.688397,-88.437752
20003387,1000002,-1,97,IL,USA,17,93,890600,0,0,41.5917,-88.484179
20003387,1000003,-1,97,IL,USA,17,89,853100,0,0,41.766359,-88.339582
20003484,10000,-1,1,IL,USA,17,31,804609,0,1,42.031579,-88.044607
20003484,10002,1,2,IL,USA,17,43,846102,0,0,41.805371,-88.106411
20003484,10401,-1,4,IL,USA,17,31,804609,0,0,42.031579,-88.044607
20003484,10403,-1,4,IL,USA,17,31,804603,0,0,42.054349,-88.054009
20003484,20002,2,2,IL,USA,17,97,864904,0,0,42.160613,-87.837312
20003484,1000000,-1,97,IL,USA,17,43,846002,0,0,41.802721,-88.050686
