,race,distance,restricted_distance,rdiff,adiff,n_cameras
Census Tract 611,white,954.6882352941176,1009.2117647058823,5.711134524975813,54.523529411764684,4
Census Tract 8365,black,738.6444444444446,759.3777777777779,2.8069436505309886,20.733333333333235,0
Census Tract 8396,black,739.4833333333333,761.2277777777776,2.9404914842945704,21.744444444444298,0
Census Tract 8400,white,709.3499999999999,733.6722222222222,3.4288041477722295,24.322222222222308,0
Census Tract 8356,white,772.4722222222222,790.1944444444443,2.2942212952641166,17.72222222222217,0
Census Tract 8308,white,791.335294117647,840.8941176470589,6.2626833275104845,49.55882352941194,1
Census Tract 4603.01,black,1054.5333333333335,1066.6944444444443,1.1532220676865732,12.161111111110813,0
Census Tract 3017.01,white,878.9833333333333,914.0444444444444,3.9888254738744777,35.06111111111102,0
Census Tract 3104,white,590.9333333333334,618.0111111111112,4.582205174488569,27.077777777777783,2
Census Tract 5301,black,968.4777777777779,978.4444444444445,1.0291063868843344,9.966666666666583,1
Census Tract 811,white,634.0500000000001,662.0722222222222,4.419560322091653,28.022222222222126,3
Census Tract 1507,white,861.8000000000001,940.2470588235294,9.102698865575464,78.44705882352935,5
Census Tract 3017.02,white,873.638888888889,921.661111111111,5.496804553114344,48.02222222222201,1
Census Tract 7003.01,black,1287.3777777777777,1391.2611111111112,8.069374438997453,103.88333333333344,1
Census Tract 4909.02,black,956.5722222222224,967.4777777777776,1.1400660924713475,10.905555555555225,1
Census Tract 618,white,781.75,830.6555555555556,6.255907330419644,48.905555555555566,3
Census Tract 4909.01,black,971.6388888888889,989.1611111111112,1.8033677349266721,17.52222222222224,1
Census Tract 6503.02,white,921.7722222222221,965.0,4.689637714788553,43.227777777777874,3
Census Tract 8319,white,705.4388888888889,766.9555555555555,8.72033958371069,61.51666666666665,1
Census Tract 8306,white,1200.135294117647,1269.270588235294,5.7606250275704305,69.13529411764716,5
Census Tract 8309,white,606.5333333333333,647.1666666666666,6.699274565838645,40.633333333333326,3
Census Tract 8307,white,823.1333333333334,864.5111111111112,5.0268621257525385,41.37777777777774,1
Census Tract 3009,white,547.9611111111112,549.0777777777778,0.2037857512191466,1.1166666666665606,0
Census Tract 7005.01,black,1197.0777777777776,1273.2277777777779,6.361324336114826,76.15000000000032,2
Census Tract 4603.02,black,1159.75,1174.4222222222224,1.2651193983377835,14.672222222222445,1
Census Tract 4313.02,black,1073.9944444444445,1087.25,1.2342294342511524,13.255555555555475,0
Census Tract 2229,white,711.6500000000001,740.9222222222222,4.113289148067466,29.272222222222126,3
Census Tract 4313.01,black,1117.8277777777776,1131.2888888888888,1.2042204871551574,13.461111111111222,0
Census Tract 4401.01,black,532.5555555555555,571.0055555555555,7.219904026705599,38.44999999999993,0
Census Tract 3018.03,white,849.3333333333334,883.238888888889,3.992019884877042,33.90555555555568,0
Census Tract 3102,white,563.2333333333333,594.3277777777778,5.520703872482293,31.094444444444434,2
Census Tract 3103,white,576.3777777777777,603.95,4.783706673863608,27.572222222222308,2
Census Tract 3105,white,517.6058823529411,537.5588235294117,3.854852090507208,19.95294117647063,2
Census Tract 5103,black,1070.4722222222222,1097.2388888888888,2.500454109038066,26.76666666666665,1
Census Tract 4914,black,936.3833333333334,953.2333333333333,1.799476710036834,16.84999999999991,1
Census Tract 5002,black,982.9777777777776,994.9833333333331,1.2213455712800028,12.005555555555475,1
Census Tract 5302,black,1019.0999999999999,1029.0666666666666,0.9779871128119613,9.966666666666697,1
Census Tract 7401,white,1091.11875,1099.6625,0.7830265954095114,8.543749999999818,0
Census Tract 1405,white,774.5374999999999,809.125,4.465568161644865,34.58750000000009,0
Census Tract 1408,white,681.4277777777777,721.05,5.814588649649028,39.62222222222226,0
Census Tract 3011,white,700.0111111111112,723.9555555555556,3.420580625704355,23.944444444444457,0
Census Tract 1502,white,786.111111111111,830.6111111111111,5.660777385159026,44.500000000000114,0
Census Tract 1503,white,826.5,893.9437499999999,8.16016333938293,67.44374999999991,1
Census Tract 3012,white,601.3529411764706,620.4176470588235,3.1703022596106716,19.064705882352882,0
Census Tract 7404,white,1231.2166666666667,1241.7944444444447,0.859132114123808,10.57777777777801,0
Census Tract 204,white,1240.670588235294,1347.129411764706,8.580748551542356,106.45882352941203,5
Census Tract 6403,white,1380.2529411764706,1515.6588235294118,9.810222337764184,135.40588235294126,4
Census Tract 6406,white,1436.0,1547.7352941176473,7.781009339669032,111.7352941176473,4
Census Tract 718,white,651.7833333333333,685.4222222222222,5.161053860775143,33.638888888888914,3
Census Tract 1603,white,713.8529411764706,744.6882352941177,4.319558320629563,30.835294117647095,0
Census Tract 3107,white,599.2777777777778,616.1111111111112,2.8089366830444114,16.83333333333337,3
Census Tract 715,white,813.45,842.0166666666667,3.5117913414059383,28.566666666666606,3
