,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras
Census Tract 2402,white,,,,,
Census Tract 2403,white,,,,,
Census Tract 2002,white,,,,,
Census Tract 4105,black,,,,,
Census Tract 4106,black,,,,,
Census Tract 1701,white,199.89999999999998,223.0,0.11555777888944485,23.100000000000023,3.0
Census Tract 1702,white,107.30000000000001,115.1,0.07269338303821046,7.799999999999983,1.0
Census Tract 1703,white,205.8,213.6,0.037900874635568425,7.799999999999983,1.0
Census Tract 3818,black,,,,,
Census Tract 1705,white,,,,,
Census Tract 3514,black,,,,,
Census Tract 3812,black,,,,,
Census Tract 3814,black,,,,,
Census Tract 3901,black,,,,,
Census Tract 4304,black,134.5,135.20000000000002,0.005204460966542878,0.700000000000017,1.0
Census Tract 4305,black,,,,,
Census Tract 4306,black,,,,,
Census Tract 2307,black,137.5,162.7,0.1832727272727272,25.19999999999999,1.0
Census Tract 2309,black,,,,,
Census Tract 2312,black,81.9,118.5,0.4468864468864468,36.599999999999994,1.0
Census Tract 1707,white,,,,,
Census Tract 1708,white,,,,,
Census Tract 1711,white,,,,,
Census Tract 1901,white,,,,,
Census Tract 2422,white,,,,,
Census Tract 2003,white,,,,,
Census Tract 2104,white,173.6,246.9,0.42223502304147476,73.30000000000001,1.0
Census Tract 2203,white,,,,,
Census Tract 2107,white,233.9,269.3,0.15134672937152632,35.400000000000006,2.0
Census Tract 2108,white,280.4,337.9,0.20506419400855921,57.5,2.0
Census Tract 2109,white,270.8,328.3,0.21233382570162482,57.5,2.0
Census Tract 4201,black,,,,,
Census Tract 4204,black,,,,,
Census Tract 4205,black,,,,,
Census Tract 6913,black,290.0,296.49999999999994,0.02241379310344808,6.499999999999943,1.0
Census Tract 317,white,118.50000000000001,132.5,0.11814345991561168,13.999999999999986,1.0
Census Tract 4701,black,,,,,
Census Tract 4801,black,,,,,
Census Tract 6910,black,,,,,
Census Tract 2423,white,,,,,
Census Tract 4111,black,,,,,
Census Tract 4604,black,,,,,
Census Tract 6812,black,,,,,
Census Tract 6905,black,209.4,213.9,0.02148997134670487,4.5,1.0
Census Tract 2414,white,,,,,
Census Tract 2415,white,,,,,
Census Tract 2416,white,,,,,
Census Tract 2420,white,,,,,
Census Tract 2433,white,,,,,
Census Tract 4912,black,,,,,
Census Tract 4803,black,,,,,
Census Tract 7108,black,,,,,
Census Tract 7113,black,,,,,
Census Tract 102.02,white,,,,,
Census Tract 4802,black,,,,,
Census Tract 4804,black,,,,,
Census Tract 4805,black,,,,,
Census Tract 2412,white,,,,,
Census Tract 6911,black,,,,,
Census Tract 6912,black,,,,,
Census Tract 6914,black,,,,,
Census Tract 512,white,199.4,224.50000000000003,0.1258776328986962,25.100000000000023,1.0
Census Tract 6915,black,,,,,
Census Tract 7001,black,197.7,278.9,0.41072331815882646,81.19999999999999,1.0
Census Tract 4107,black,,,,,
Census Tract 4108,black,,,,,
Census Tract 4112,black,,,,,
Census Tract 5306,black,,,,,
Census Tract 4601,black,,,,,
Census Tract 4602,black,,,,,
Census Tract 4605,black,,,,,
Census Tract 4606,black,,,,,
Census Tract 4607,black,,,,,
Census Tract 2413,white,,,,,
Census Tract 4610,black,,,,,
Census Tract 6813,black,,,,,
Census Tract 6814,black,,,,,
Census Tract 601,white,,,,,
Census Tract 6903,black,,,,,
Census Tract 6904,black,222.4,230.0,0.03417266187050357,7.599999999999994,1.0
Census Tract 6909,black,,,,,
Census Tract 602,white,,,,,
Census Tract 2421,white,,,,,
Census Tract 2431,white,,,,,
Census Tract 2432,white,,,,,
Census Tract 6116,white,210.6,297.1,0.41073124406457756,86.50000000000003,1.0
Census Tract 2434,white,,,,,
Census Tract 2435,white,,,,,
Census Tract 7111,black,,,,,
Census Tract 2502,white,166.89999999999998,201.4,0.2067106051527863,34.50000000000003,2.0
Census Tract 4910,black,,,,,
Census Tract 4911,black,,,,,
Census Tract 7101,black,,,,,
Census Tract 5101,black,,,,,
Census Tract 5102,black,,,,,
Census Tract 7103,black,,,,,
Census Tract 5202,black,,,,,
Census Tract 7109,black,,,,,
Census Tract 7110,black,264.9,265.2,0.0011325028312571212,0.30000000000001137,1.0
Census Tract 7112,black,,,,,
Census Tract 7114,black,270.0,282.0,0.044444444444444446,12.0,1.0
Census Tract 7106,black,,,,,
Census Tract 619.02,white,240.39999999999998,436.6,0.8161397670549088,196.20000000000005,1.0
Census Tract 302,white,,,,,
Census Tract 303,white,,,,,
Census Tract 304,white,174.5,181.5,0.04011461318051576,7.0,1.0
Census Tract 305,white,,,,,
Census Tract 308,white,,,,,
Census Tract 2424,white,,,,,
Census Tract 2425,white,,,,,
Census Tract 2426,white,,,,,
Census Tract 2427,white,,,,,
Census Tract 2428,black,,,,,
Census Tract 2429,black,151.0,166.8,0.10463576158940405,15.800000000000011,1.0
Census Tract 2430,black,,,,,
Census Tract 2204,white,232.09999999999997,276.0,0.189142610943559,43.900000000000034,2.0
Census Tract 2205,white,,,,,
Census Tract 318,white,78.5,104.1,0.3261146496815286,25.599999999999994,1.0
Census Tract 2210,white,220.0,244.7,0.11227272727272722,24.69999999999999,1.0
Census Tract 319,white,,,,,
Census Tract 5205,black,,,,,
Census Tract 7205,white,,,,,
Census Tract 4903,black,,,,,
Census Tract 4904,black,,,,,
Census Tract 3501,white,223.0,228.8,0.026008968609865523,5.800000000000011,1.0
Census Tract 3511,black,,,,,
Census Tract 2512,black,271.8,364.4,0.3406916850625458,92.59999999999997,2.0
Census Tract 5701,white,,,,,
Census Tract 309,white,,,,,
Census Tract 2506,black,289.6,358.70000000000005,0.23860497237569067,69.10000000000002,2.0
Census Tract 5601,white,,,,,
Census Tract 321,white,,,,,
Census Tract 4905,black,,,,,
Census Tract 4906,black,,,,,
Census Tract 4907,black,,,,,
Census Tract 4908,black,,,,,
Census Tract 7002,black,,,,,
Census Tract 7102,black,,,,,
Census Tract 7104,black,,,,,
Census Tract 7105,black,,,,,
Census Tract 7107,black,,,,,
Census Tract 2510,black,169.2,257.4,0.5212765957446808,88.19999999999999,2.0
Census Tract 2804,black,,,,,
Census Tract 3201,white,,,,,
Census Tract 5808,white,122.5,138.0,0.12653061224489795,15.5,1.0
Census Tract 3510,white,237.6,243.40000000000003,0.024410774410774577,5.80000000000004,1.0
Census Tract 3602,black,,,,,
Census Tract 3801,black,,,,,
Census Tract 2315,black,,,,,
Census Tract 2511,black,213.2,301.4,0.4136960600375234,88.19999999999999,2.0
Census Tract 5502,white,,,,,
Census Tract 5608,white,,,,,
Census Tract 5609,white,,,,,
Census Tract 5003,black,,,,,
Census Tract 5610,white,,,,,
Census Tract 5611,white,,,,,
Census Tract 5702,white,,,,,
Census Tract 7304,black,,,,,
Census Tract 7305,black,,,,,
Census Tract 7306,black,,,,,
Census Tract 7307,black,,,,,
Census Tract 2503,white,230.99999999999997,263.0,0.13852813852813867,32.00000000000003,2.0
Census Tract 2504,white,291.3,324.5,0.11397185032612422,33.19999999999999,1.0
Census Tract 2505,white,,,,,
Census Tract 2507,black,229.2,293.4,0.2801047120418848,64.19999999999999,2.0
